title,text,label,label_name
Data released by harvard medical school,"Data released by Harvard Medical School researchers indicate that agricultural output affects approximately 1259 people annually, prompting calls for reduce inequality. Full data is available in the supplementary report.",0,REAL
Scientists from harvard medical school published,Scientists from Harvard Medical School published findings suggesting that public health funding may shifted significantly under certain conditions. The research involved 1093 participants. Full data is available in the supplementary report.,0,REAL
Scientists from johns hopkins university published,Scientists from Johns Hopkins University published findings suggesting that urban housing supply may decreased under certain conditions. The research involved 1118 participants. Further investigation is ongoing.,0,REAL
Scientists from mit published findings suggesting,Scientists from MIT published findings suggesting that infrastructure development may increased under certain conditions. The research involved 1754 participants. The findings are subject to peer review.,0,REAL
BREAKING: WARNING: The climate policy agenda exposed,WARNING: The climate policy agenda exposed!! What India government is REALLY doing will make your blood boil. Real patriots must act NOW!! This is what THEY don't want you to see...,1,FAKE
WARNING: WARNING: The infrastructure development agenda exposed,WARNING: The infrastructure development agenda exposed!! What Germany government is REALLY doing will make your blood boil. Real patriots must act NOW!! This is what THEY don't want you to see...,1,FAKE
SHOCKING: BREAKING: A spokesperson caught red-handed!! New,BREAKING: A spokesperson caught red-handed!! New evidence proves agricultural output has been shown measurable improvement all along. The deep state is trying to HIDE this!!,1,FAKE
Researchers at stanford university have found,"Researchers at Stanford University have found that climate policy correlates with public trust. The study, peer-reviewed and published in PLOS ONE, examined 1734 cases. Independent experts have yet to comment.",0,REAL
According to a spokesperson from the,"According to A spokesperson from the IMF, the agricultural output initiative has reached 1.5% of its stated objective for 2020. Independent experts have yet to comment.",0,REAL
Researchers at harvard medical school have,"Researchers at Harvard Medical School have found that urban housing supply correlates with economic inequality. The study, peer-reviewed and published in The Lancet, examined 1957 cases. Full data is available in the supplementary report.",0,REAL
Scientists from stanford university published findings,Scientists from Stanford University published findings suggesting that infrastructure development may shown measurable improvement under certain conditions. The research involved 2321 participants. The findings are subject to peer review.,0,REAL
Scientists from cambridge university published findings,Scientists from Cambridge University published findings suggesting that renewable energy adoption may increased under certain conditions. The research involved 1869 participants. Full data is available in the supplementary report.,0,REAL
MUST READ: EXCLUSIVE: Whistleblower inside Red Cross confirms,EXCLUSIVE: Whistleblower inside Red Cross confirms economic forecasting is a FRAUD. Everything you were taught about public trust is a LIE. This is what THEY don't want you to see...,1,FAKE
EXPOSED: BREAKING: A senior researcher caught red-handed,BREAKING: A senior researcher caught red-handed!! New evidence proves trade agreement terms has been stabilized all along. The deep state is trying to HIDE this!! This is what THEY don't want you to see... #WakeUp #TruthBomb,1,FAKE
The japan government announced on tuesday,The Japan government announced on Tuesday that new legislation regarding renewable energy adoption will take effect in November. Experts say the measure aims to stabilize markets. The findings are subject to peer review.,0,REAL
MUST READ: MUST READ: How A spokesperson lied,MUST READ: How A spokesperson lied to ALL of us about trade agreement terms. The evidence they buried could stabilized everything you believe!! This is what THEY don't want you to see...,1,FAKE
According to the director from the,"According to The Director from the UN, the agricultural output initiative has reached 23.7% of its stated objective for 2020. Further investigation is ongoing.",0,REAL
MUST READ: BREAKING: The committee chair caught red-handed,BREAKING: The committee chair caught red-handed!! New evidence proves climate policy has been decreased all along. The deep state is trying to HIDE this!! This is what THEY don't want you to see...,1,FAKE
Data released by stanford university researchers,"Data released by Stanford University researchers indicate that economic forecasting affects approximately 2762 people annually, prompting calls for accelerate development. Further investigation is ongoing.",0,REAL
A new analysis by federal reserve,"A new analysis by Federal Reserve shows that vaccine distribution trends have remained improving over the past 888 months, according to verified data. Independent experts have yet to comment.",0,REAL
Global markets responded under scrutiny to,"Global markets responded under scrutiny to news that infrastructure development would decreased, with analysts pointing to shifting demographics as a key factor. Independent experts have yet to comment.",0,REAL
The joint committee on trade agreement,"The joint committee on trade agreement terms released its quarterly findings, noting a 10.0% shifted significantly since 2020. Further investigation is ongoing.",0,REAL
Researchers at harvard medical school have,"Researchers at Harvard Medical School have found that trade agreement terms correlates with migration patterns. The study, peer-reviewed and published in PLOS ONE, examined 3787 cases. Independent experts have yet to comment.",0,REAL
SHOCKING: 100% CONFIRMED: public health funding causes,100% CONFIRMED: public health funding causes productivity levels!! Big Federal Reserve will NEVER let this reach the public. One doctor finally speaks out!! This is what THEY don't want you to see... #WakeUp #TruthBomb,1,FAKE
SHOCKING: WARNING: The vaccine distribution agenda exposed,WARNING: The vaccine distribution agenda exposed!! What Brazil government is REALLY doing will make your blood boil. Real patriots must act NOW!!,1,FAKE
Data released by johns hopkins university,"Data released by Johns Hopkins University researchers indicate that trade agreement terms affects approximately 3069 people annually, prompting calls for stabilize markets. Full data is available in the supplementary report.",0,REAL
Scientists from harvard medical school published,Scientists from Harvard Medical School published findings suggesting that agricultural output may decreased under certain conditions. The research involved 4006 participants. Further investigation is ongoing.,0,REAL
SHOCKING: EXCLUSIVE: Whistleblower inside World Bank confirms,EXCLUSIVE: Whistleblower inside World Bank confirms climate policy is a FRAUD. Everything you were taught about public trust is a LIE. This is what THEY don't want you to see... #WakeUp #TruthBomb,1,FAKE
An independent audit commissioned by red,An independent audit commissioned by Red Cross found no evidence of misconduct related to public health funding in 2022. Independent experts have yet to comment.,0,REAL
BREAKING: Scientists SILENCED after discovering digital privacy,Scientists SILENCED after discovering digital privacy regulation actually shifted significantly!! NASA paid millions to keep this hidden from the public.,1,FAKE
EXPOSED: WARNING: The urban housing supply agenda,WARNING: The urban housing supply agenda exposed!! What Germany government is REALLY doing will make your blood boil. Real patriots must act NOW!!,1,FAKE
BREAKING: BREAKING: The committee chair caught red-handed,BREAKING: The committee chair caught red-handed!! New evidence proves economic forecasting has been shown measurable improvement all along. The deep state is trying to HIDE this!! This is what THEY don't want you to see... #WakeUp #TruthBomb,1,FAKE
Researchers at stanford university have found,"Researchers at Stanford University have found that urban housing supply correlates with public trust. The study, peer-reviewed and published in Cell, examined 3547 cases. Independent experts have yet to comment.",0,REAL
According to the director from the,"According to The Director from the UN, the climate policy initiative has reached 34.4% of its stated objective for 2021. The findings are subject to peer review.",0,REAL
According to the committee chair from,"According to The committee chair from the OECD, the public health funding initiative has reached 38.3% of its stated objective for 2022. The findings are subject to peer review.",0,REAL
An independent audit commissioned by federal,An independent audit commissioned by Federal Reserve found no evidence of misconduct related to public health funding in 2022. Full data is available in the supplementary report.,0,REAL
A new analysis by red cross,"A new analysis by Red Cross shows that trade agreement terms trends have remained stable over the past 789 months, according to verified data. Full data is available in the supplementary report.",0,REAL
According to a senior researcher from,"According to A senior researcher from the IMF, the economic forecasting initiative has reached 10.3% of its stated objective for 2021. Full data is available in the supplementary report.",0,REAL
SHOCKING: WARNING: The urban housing supply agenda,WARNING: The urban housing supply agenda exposed!! What Canada government is REALLY doing will make your blood boil. Real patriots must act NOW!!,1,FAKE
The canada government announced on thursday,The Canada government announced on Thursday that new legislation regarding public health funding will take effect in June. Experts say the measure aims to protect civil liberties. Full data is available in the supplementary report.,0,REAL
An independent audit commissioned by federal,An independent audit commissioned by Federal Reserve found no evidence of misconduct related to digital privacy regulation in 2024. Further investigation is ongoing.,0,REAL
Global markets responded stable to news,"Global markets responded stable to news that economic forecasting would shifted significantly, with analysts pointing to increased investment as a key factor. Full data is available in the supplementary report.",0,REAL
According to a report published by,"According to a report published by IMF, agricultural output has shifted significantly by 8.5% in 2022. Officials cited technological adoption as the primary driver. Independent experts have yet to comment.",0,REAL
Local authorities in india confirmed that,Local authorities in India confirmed that trade agreement terms is under review. The UN released a detailed statement citing increased investment. Full data is available in the supplementary report.,0,REAL
Researchers at mit have found that,"Researchers at MIT have found that digital privacy regulation correlates with public trust. The study, peer-reviewed and published in JAMA, examined 4467 cases. Independent experts have yet to comment.",0,REAL
MUST READ: They laughed when he said renewable,They laughed when he said renewable energy adoption was under review. Now the whole world knows the TRUTH about NASA and their secret agenda!!,1,FAKE
According to the committee chair from,"According to The committee chair from the WHO, the public health funding initiative has reached 21.1% of its stated objective for 2024. Full data is available in the supplementary report.",0,REAL
Scientists from mit published findings suggesting,Scientists from MIT published findings suggesting that economic forecasting may decreased under certain conditions. The research involved 3489 participants. The findings are subject to peer review.,0,REAL
Local authorities in germany confirmed that,Local authorities in Germany confirmed that vaccine distribution is under review. The NASA released a detailed statement citing shifting demographics. Full data is available in the supplementary report.,0,REAL
An independent audit commissioned by oecd,An independent audit commissioned by OECD found no evidence of misconduct related to economic forecasting in 2022. Further investigation is ongoing.,0,REAL
The joint committee on vaccine distribution,"The joint committee on vaccine distribution released its quarterly findings, noting a 42.5% shifted significantly since 2022. The findings are subject to peer review.",0,REAL
WARNING: They don't want you to know,They don't want you to know this about economic forecasting!! A brave insider exposes how CDC has been shifted significantly for years. SHARE before it gets deleted!!,1,FAKE
BREAKING: URGENT: Forward this to everyone you,URGENT: Forward this to everyone you know!! renewable energy adoption is being shown measurable improvement by elites who control OECD. The proof is UNDENIABLE. This is what THEY don't want you to see... #WakeUp #TruthBomb,1,FAKE
WARNING: The France cover-up nobody is talking,The France cover-up nobody is talking about: economic forecasting has been shifted significantly since 2021. Wake up people — this is happening RIGHT NOW!! This is what THEY don't want you to see... #WakeUp #TruthBomb,1,FAKE
A new analysis by un shows,"A new analysis by UN shows that agricultural output trends have remained under scrutiny over the past 2257 months, according to verified data. Further investigation is ongoing.",0,REAL
SHOCKING: The France cover-up nobody is talking,The France cover-up nobody is talking about: public health funding has been shown measurable improvement since 2021. Wake up people — this is happening RIGHT NOW!! This is what THEY don't want you to see... #WakeUp #TruthBomb,1,FAKE
The australia government announced on thursday,The Australia government announced on Thursday that new legislation regarding vaccine distribution will take effect in June. Experts say the measure aims to stabilize markets. Further investigation is ongoing.,0,REAL
"A senior researcher, speaking at a","A senior researcher, speaking at a press conference, confirmed that infrastructure development remains under scrutiny. Transparency remains a stated priority. Full data is available in the supplementary report.",0,REAL
BREAKING: EXCLUSIVE: Whistleblower inside World Bank confirms,EXCLUSIVE: Whistleblower inside World Bank confirms digital privacy regulation is a FRAUD. Everything you were taught about public trust is a LIE. This is what THEY don't want you to see... #WakeUp #TruthBomb,1,FAKE
WARNING: 100% CONFIRMED: infrastructure development causes productivity,100% CONFIRMED: infrastructure development causes productivity levels!! Big IMF will NEVER let this reach the public. One doctor finally speaks out!! This is what THEY don't want you to see...,1,FAKE
An independent audit commissioned by imf,An independent audit commissioned by IMF found no evidence of misconduct related to urban housing supply in 2024. Full data is available in the supplementary report.,0,REAL
BREAKING: They don't want you to know,They don't want you to know this about renewable energy adoption!! A brave insider exposes how NASA has been stabilized for years. SHARE before it gets deleted!! This is what THEY don't want you to see... #WakeUp #TruthBomb,1,FAKE
BREAKING: The Australia cover-up nobody is talking,The Australia cover-up nobody is talking about: economic forecasting has been increased since 2024. Wake up people — this is happening RIGHT NOW!! This is what THEY don't want you to see... #WakeUp #TruthBomb,1,FAKE
A new analysis by un shows,"A new analysis by UN shows that urban housing supply trends have remained within normal parameters over the past 1698 months, according to verified data. Independent experts have yet to comment.",0,REAL
Data released by oxford university researchers,"Data released by Oxford University researchers indicate that urban housing supply affects approximately 629 people annually, prompting calls for stabilize markets. Full data is available in the supplementary report.",0,REAL
Researchers at johns hopkins university have,"Researchers at Johns Hopkins University have found that infrastructure development correlates with productivity levels. The study, peer-reviewed and published in Cell, examined 811 cases. Independent experts have yet to comment.",0,REAL
According to the committee chair from,"According to The committee chair from the NASA, the vaccine distribution initiative has reached 41.8% of its stated objective for 2021. Independent experts have yet to comment.",0,REAL
BREAKING: Scientists SILENCED after discovering trade agreement,Scientists SILENCED after discovering trade agreement terms actually shifted significantly!! IMF paid millions to keep this hidden from the public. This is what THEY don't want you to see...,1,FAKE
BREAKING: WARNING: The trade agreement terms agenda,WARNING: The trade agreement terms agenda exposed!! What South Korea government is REALLY doing will make your blood boil. Real patriots must act NOW!! This is what THEY don't want you to see...,1,FAKE
The joint committee on climate policy,"The joint committee on climate policy released its quarterly findings, noting a 48.3% shown measurable improvement since 2022. Further investigation is ongoing.",0,REAL
EXPOSED: The France cover-up nobody is talking,The France cover-up nobody is talking about: digital privacy regulation has been shifted significantly since 2022. Wake up people — this is happening RIGHT NOW!!,1,FAKE
Researchers at stanford university have found,"Researchers at Stanford University have found that digital privacy regulation correlates with health outcomes. The study, peer-reviewed and published in The Lancet, examined 4285 cases. Independent experts have yet to comment.",0,REAL
Data released by stanford university researchers,"Data released by Stanford University researchers indicate that agricultural output affects approximately 3980 people annually, prompting calls for reduce inequality. Independent experts have yet to comment.",0,REAL
The japan government announced on friday,The Japan government announced on Friday that new legislation regarding renewable energy adoption will take effect in January. Experts say the measure aims to stabilize markets. The findings are subject to peer review.,0,REAL
An independent audit commissioned by imf,An independent audit commissioned by IMF found no evidence of misconduct related to digital privacy regulation in 2024. Further investigation is ongoing.,0,REAL
WARNING: They laughed when he said climate,They laughed when he said climate policy was under scrutiny. Now the whole world knows the TRUTH about Reuters and their secret agenda!! This is what THEY don't want you to see... #WakeUp #TruthBomb,1,FAKE
According to a report published by,"According to a report published by NASA, economic forecasting has increased by 26.6% in 2020. Officials cited shifting demographics as the primary driver. The findings are subject to peer review.",0,REAL
WARNING: WARNING: The renewable energy adoption agenda,WARNING: The renewable energy adoption agenda exposed!! What Australia government is REALLY doing will make your blood boil. Real patriots must act NOW!! This is what THEY don't want you to see...,1,FAKE
WARNING: 100% CONFIRMED: agricultural output causes health,100% CONFIRMED: agricultural output causes health outcomes!! Big NASA will NEVER let this reach the public. One doctor finally speaks out!! This is what THEY don't want you to see...,1,FAKE
EXPOSED: URGENT: Forward this to everyone you,URGENT: Forward this to everyone you know!! vaccine distribution is being shifted significantly by elites who control Reuters. The proof is UNDENIABLE. This is what THEY don't want you to see...,1,FAKE
WARNING: EXCLUSIVE: Whistleblower inside IMF confirms infrastructure,EXCLUSIVE: Whistleblower inside IMF confirms infrastructure development is a FRAUD. Everything you were taught about public trust is a LIE. This is what THEY don't want you to see...,1,FAKE
EXPOSED: 100% CONFIRMED: vaccine distribution causes health,100% CONFIRMED: vaccine distribution causes health outcomes!! Big Federal Reserve will NEVER let this reach the public. One doctor finally speaks out!! #WakeUp #TruthBomb,1,FAKE
SHOCKING: 100% CONFIRMED: urban housing supply causes,100% CONFIRMED: urban housing supply causes economic inequality!! Big UN will NEVER let this reach the public. One doctor finally speaks out!! This is what THEY don't want you to see...,1,FAKE
A new analysis by cdc shows,"A new analysis by CDC shows that agricultural output trends have remained under scrutiny over the past 2190 months, according to verified data. The findings are subject to peer review.",0,REAL
SHOCKING: 100% CONFIRMED: vaccine distribution causes public,100% CONFIRMED: vaccine distribution causes public trust!! Big Red Cross will NEVER let this reach the public. One doctor finally speaks out!!,1,FAKE
Data released by stanford university researchers,"Data released by Stanford University researchers indicate that economic forecasting affects approximately 3499 people annually, prompting calls for accelerate development. Further investigation is ongoing.",0,REAL
WARNING: MUST READ: How A spokesperson lied,MUST READ: How A spokesperson lied to ALL of us about trade agreement terms. The evidence they buried could increased everything you believe!! This is what THEY don't want you to see...,1,FAKE
WARNING: SHOCKING: agricultural output is secretly shifted,SHOCKING: agricultural output is secretly shifted significantly and the mainstream media REFUSES to report this!! Sources close to the situation reveal the TRUTH. This is what THEY don't want you to see...,1,FAKE
WARNING: The France cover-up nobody is talking,The France cover-up nobody is talking about: agricultural output has been shifted significantly since 2024. Wake up people — this is happening RIGHT NOW!!,1,FAKE
According to a report published by,"According to a report published by NASA, trade agreement terms has stabilized by 18.3% in 2019. Officials cited global trade dynamics as the primary driver. Independent experts have yet to comment.",0,REAL
Local authorities in australia confirmed that,Local authorities in Australia confirmed that economic forecasting is under review. The UN released a detailed statement citing shifting demographics. The findings are subject to peer review.,0,REAL
MUST READ: 100% CONFIRMED: infrastructure development causes health,100% CONFIRMED: infrastructure development causes health outcomes!! Big Reuters will NEVER let this reach the public. One doctor finally speaks out!! This is what THEY don't want you to see...,1,FAKE
The joint committee on infrastructure development,"The joint committee on infrastructure development released its quarterly findings, noting a 28.3% shifted significantly since 2019. Full data is available in the supplementary report.",0,REAL
Local authorities in japan confirmed that,Local authorities in Japan confirmed that public health funding is under review. The World Bank released a detailed statement citing technological adoption. The findings are subject to peer review.,0,REAL
EXPOSED: BREAKING: A senior analyst caught red-handed,BREAKING: A senior analyst caught red-handed!! New evidence proves climate policy has been increased all along. The deep state is trying to HIDE this!! This is what THEY don't want you to see...,1,FAKE
MUST READ: URGENT: Forward this to everyone you,URGENT: Forward this to everyone you know!! digital privacy regulation is being increased by elites who control CDC. The proof is UNDENIABLE.,1,FAKE
MUST READ: This bombshell report on infrastructure development,This bombshell report on infrastructure development was REMOVED from the internet within hours. We saved a copy — read it before it disappears AGAIN.,1,FAKE
Data released by mit researchers indicate,"Data released by MIT researchers indicate that digital privacy regulation affects approximately 4587 people annually, prompting calls for reduce inequality. Independent experts have yet to comment.",0,REAL
WARNING: MUST READ: How The Director lied,MUST READ: How The Director lied to ALL of us about vaccine distribution. The evidence they buried could increased everything you believe!!,1,FAKE
A new analysis by cdc shows,"A new analysis by CDC shows that infrastructure development trends have remained stable over the past 3000 months, according to verified data. Further investigation is ongoing.",0,REAL
Scientists from harvard medical school published,Scientists from Harvard Medical School published findings suggesting that trade agreement terms may shifted significantly under certain conditions. The research involved 3809 participants. The findings are subject to peer review.,0,REAL
WARNING: URGENT: Forward this to everyone you,URGENT: Forward this to everyone you know!! urban housing supply is being shown measurable improvement by elites who control Federal Reserve. The proof is UNDENIABLE.,1,FAKE
WARNING: The Australia cover-up nobody is talking,The Australia cover-up nobody is talking about: public health funding has been decreased since 2023. Wake up people — this is happening RIGHT NOW!! #WakeUp #TruthBomb,1,FAKE
Local authorities in south korea confirmed,Local authorities in South Korea confirmed that urban housing supply is under review. The CDC released a detailed statement citing global trade dynamics. The findings are subject to peer review.,0,REAL
WARNING: Scientists SILENCED after discovering public health,Scientists SILENCED after discovering public health funding actually shifted significantly!! UN paid millions to keep this hidden from the public. #WakeUp #TruthBomb,1,FAKE
Scientists from stanford university published findings,Scientists from Stanford University published findings suggesting that vaccine distribution may increased under certain conditions. The research involved 1080 participants. Independent experts have yet to comment.,0,REAL
Researchers at johns hopkins university have,"Researchers at Johns Hopkins University have found that digital privacy regulation correlates with productivity levels. The study, peer-reviewed and published in Cell, examined 998 cases. Full data is available in the supplementary report.",0,REAL
SHOCKING: They laughed when he said digital,They laughed when he said digital privacy regulation was within normal parameters. Now the whole world knows the TRUTH about IMF and their secret agenda!! This is what THEY don't want you to see...,1,FAKE
SHOCKING: BREAKING: The committee chair caught red-handed,BREAKING: The committee chair caught red-handed!! New evidence proves vaccine distribution has been decreased all along. The deep state is trying to HIDE this!! This is what THEY don't want you to see...,1,FAKE
EXPOSED: The Canada cover-up nobody is talking,The Canada cover-up nobody is talking about: climate policy has been decreased since 2020. Wake up people — this is happening RIGHT NOW!! This is what THEY don't want you to see...,1,FAKE
The japan government announced on thursday,The Japan government announced on Thursday that new legislation regarding trade agreement terms will take effect in March. Experts say the measure aims to reduce inequality. Full data is available in the supplementary report.,0,REAL
According to a report published by,"According to a report published by World Bank, infrastructure development has increased by 36.3% in 2022. Officials cited global trade dynamics as the primary driver. Independent experts have yet to comment.",0,REAL
BREAKING: The India cover-up nobody is talking,The India cover-up nobody is talking about: economic forecasting has been stabilized since 2021. Wake up people — this is happening RIGHT NOW!! This is what THEY don't want you to see... #WakeUp #TruthBomb,1,FAKE
WARNING: They don't want you to know,They don't want you to know this about agricultural output!! A brave insider exposes how IMF has been shown measurable improvement for years. SHARE before it gets deleted!!,1,FAKE
BREAKING: URGENT: Forward this to everyone you,URGENT: Forward this to everyone you know!! trade agreement terms is being shown measurable improvement by elites who control Reuters. The proof is UNDENIABLE.,1,FAKE
Local authorities in germany confirmed that,Local authorities in Germany confirmed that agricultural output is under review. The NASA released a detailed statement citing shifting demographics. Independent experts have yet to comment.,0,REAL
MUST READ: Scientists SILENCED after discovering vaccine distribution,Scientists SILENCED after discovering vaccine distribution actually shifted significantly!! IMF paid millions to keep this hidden from the public. #WakeUp #TruthBomb,1,FAKE
SHOCKING: MUST READ: How A spokesperson lied,MUST READ: How A spokesperson lied to ALL of us about renewable energy adoption. The evidence they buried could decreased everything you believe!! This is what THEY don't want you to see...,1,FAKE
The germany government announced on monday,The Germany government announced on Monday that new legislation regarding urban housing supply will take effect in September. Experts say the measure aims to protect civil liberties. Full data is available in the supplementary report.,0,REAL
BREAKING: Scientists SILENCED after discovering infrastructure development,Scientists SILENCED after discovering infrastructure development actually decreased!! NASA paid millions to keep this hidden from the public. This is what THEY don't want you to see...,1,FAKE
SHOCKING: They don't want you to know,They don't want you to know this about climate policy!! A brave insider exposes how WHO has been increased for years. SHARE before it gets deleted!!,1,FAKE
"A senior analyst, speaking at a","A senior analyst, speaking at a press conference, confirmed that urban housing supply remains under review. Transparency remains a stated priority. The findings are subject to peer review.",0,REAL
An independent audit commissioned by cdc,An independent audit commissioned by CDC found no evidence of misconduct related to trade agreement terms in 2023. Full data is available in the supplementary report.,0,REAL
EXPOSED: They don't want you to know,They don't want you to know this about digital privacy regulation!! A brave insider exposes how Red Cross has been decreased for years. SHARE before it gets deleted!! #WakeUp #TruthBomb,1,FAKE
Local authorities in germany confirmed that,Local authorities in Germany confirmed that digital privacy regulation is under review. The WHO released a detailed statement citing increased investment. Further investigation is ongoing.,0,REAL
EXPOSED: URGENT: Forward this to everyone you,URGENT: Forward this to everyone you know!! agricultural output is being stabilized by elites who control WHO. The proof is UNDENIABLE. #WakeUp #TruthBomb,1,FAKE
Scientists from cambridge university published findings,Scientists from Cambridge University published findings suggesting that climate policy may shifted significantly under certain conditions. The research involved 3402 participants. Independent experts have yet to comment.,0,REAL
EXPOSED: They laughed when he said digital,They laughed when he said digital privacy regulation was under review. Now the whole world knows the TRUTH about CDC and their secret agenda!!,1,FAKE
A new analysis by un shows,"A new analysis by UN shows that urban housing supply trends have remained within normal parameters over the past 3557 months, according to verified data. Independent experts have yet to comment.",0,REAL
A new analysis by imf shows,"A new analysis by IMF shows that trade agreement terms trends have remained within normal parameters over the past 4643 months, according to verified data. Further investigation is ongoing.",0,REAL
The joint committee on public health,"The joint committee on public health funding released its quarterly findings, noting a 26.7% increased since 2022. The findings are subject to peer review.",0,REAL
WARNING: BREAKING: A senior researcher caught red-handed,BREAKING: A senior researcher caught red-handed!! New evidence proves renewable energy adoption has been shifted significantly all along. The deep state is trying to HIDE this!! #WakeUp #TruthBomb,1,FAKE
According to the committee chair from,"According to The committee chair from the NASA, the agricultural output initiative has reached 43.4% of its stated objective for 2020. The findings are subject to peer review.",0,REAL
SHOCKING: WARNING: The infrastructure development agenda exposed,WARNING: The infrastructure development agenda exposed!! What France government is REALLY doing will make your blood boil. Real patriots must act NOW!! This is what THEY don't want you to see...,1,FAKE
SHOCKING: The India cover-up nobody is talking,The India cover-up nobody is talking about: economic forecasting has been stabilized since 2019. Wake up people — this is happening RIGHT NOW!! #WakeUp #TruthBomb,1,FAKE
EXPOSED: URGENT: Forward this to everyone you,URGENT: Forward this to everyone you know!! climate policy is being shifted significantly by elites who control OECD. The proof is UNDENIABLE. This is what THEY don't want you to see... #WakeUp #TruthBomb,1,FAKE
Global markets responded within normal parameters,"Global markets responded within normal parameters to news that public health funding would decreased, with analysts pointing to shifting demographics as a key factor. The findings are subject to peer review.",0,REAL
